table_name,rows,columns,year_min,year_max,missing_country_name_rate,missing_noc_rate,missing_sport_rate,missing_gdp_per_capita_rate,missing_population_rate
clean_olympic_events,252565,22,1896.0,2024.0,0.0,0.0,0.0,,
clean_athlete_events_summer,222552,22,1896.0,2016.0,0.0,0.0,0.0,,
official_event_medals,18159,22,1896.0,2024.0,0.0,0.0,0.0,,
medal_unique_event_country,18159,22,1896.0,2024.0,0.0,0.0,0.0,,
olympic_timeline,31,2,1896.0,2024.0,,,,,
country_year_medals,1487,29,1896.0,2024.0,0.0,0.0,,,
country_sport_year_medals,6844,15,1896.0,2024.0,0.0,0.0,0.0,,
sport_year_country_share,6844,17,1896.0,2024.0,0.0,0.0,0.0,,
athlete_demographics,2814,17,1896.0,2016.0,0.0,0.0,,,
country_gdp_population_medal_efficiency,1487,25,1896.0,2024.0,0.0,0.0,,0.5595158036314728,0.14122394082044384
country_economic_efficiency,1487,25,1896.0,2024.0,0.0,0.0,,0.5595158036314728,0.14122394082044384
country_expected_vs_actual_medals,1487,14,1896.0,2024.0,0.0,0.0,,0.5595158036314728,0.14122394082044384
country_multi_normalized_efficiency,1589,38,1896.0,2024.0,0.0,0.0,,0.5877910635619886,0.13215859030837004
host_years,31,9,1896.0,2024.0,,,,,
host_effect_country_sport_panel,789,19,,,,,0.0,,
host_effect_summary,31,10,,,,,,,
host_effect_summary_modern,8,9,,,,,,,
event_added_removed,2176,7,1900.0,2024.0,,,0.0,,
event_opportunity_refined,2176,14,1900.0,2024.0,,,0.0,,
coach_events_template,0,8,,,,,,,
coach_events_template_examples,2,8,,,0.0,,0.0,,
gender_event_expansion_by_year,1230,6,1896.0,2024.0,,,0.0,,
country_gender_opportunity_capture,1461,15,1896.0,2024.0,0.0,0.0,,,
country_gender_medal_structure,1461,16,1896.0,2024.0,0.0,0.0,,,
country_gender_growth_decomposition,248,20,,,0.0,0.0,,,
country_profile_features,157,19,,,0.0,0.0,,,
country_cluster_labels,157,20,,,0.0,0.0,,,
sport_entry_barrier_index,71,21,,,,,0.0,,
sport_entry_barrier_modern,45,16,,,,,0.0,,
sport_breakthrough_cases,7462,22,1896.0,2024.0,0.0,0.0,0.0,,0.12248726882873225
leap_mechanism_decomposition,6745,29,1896.0,2024.0,0.0,0.0,0.0,,
leap_mechanism_enhanced,6745,23,1896.0,2024.0,0.0,0.0,0.0,,
leap_case_library,40,24,1896.0,2024.0,0.0,0.0,0.0,,
mechanism_case_cards,10,23,,,0.0,0.0,0.0,,
mechanism_reporting_filter,1565,7,,,,,,,
country_year_sport_concentration,1460,7,1896.0,2024.0,0.0,0.0,,,
sport_globalization_metrics,763,9,1896.0,2024.0,,,0.0,,
leap_index_country_sport,6844,19,1896.0,2024.0,0.0,0.0,0.0,,
